Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1752172196142047,0xAA,false,Rx,0,8,0x5D,0x53,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196142397,0xA8,false,Rx,0,8,0x00,0x03,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196142655,0xA9,false,Rx,0,8,0xEC,0x03,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196142861,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x50,0x83,
1752172196144841,0xB6,false,Rx,0,5,0x08,0x08,0x80,0x00,0xC8,,,
1752172196145157,0xC4,false,Rx,0,7,0x3A,0xFE,0xFC,0x1C,0xFF,0xFF,0xF1,
1752172196145412,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752172196145644,0x19E,false,Rx,0,8,0x00,0xE0,0x9F,0xFC,0xFE,0x00,0x00,0x1C
1752172196145867,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xC0,0x00,0x18,0x80,0x7B
1752172196146085,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x68,0x00,0x00,0x04
1752172196151074,0x1B4,false,Rx,0,8,0x00,0xD0,0xE2,0xFE,0x04,0x32,0xFE,0x9D
1752172196151948,0xAA,false,Rx,0,8,0x5E,0x54,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196152172,0xA8,false,Rx,0,8,0x02,0x04,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196152441,0xA9,false,Rx,0,8,0xED,0x04,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196152695,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x51,0x84,
1752172196154946,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x1C,0xFF,0xFF,0xF1,
1752172196162012,0xAA,false,Rx,0,8,0x5F,0x55,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196162315,0xA8,false,Rx,0,8,0x03,0x05,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196162551,0xA9,false,Rx,0,8,0xEE,0x05,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196162754,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x52,0x85,
1752172196164783,0xB6,false,Rx,0,5,0x09,0x09,0x80,0x00,0xC8,,,
1752172196164969,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x1C,0xFF,0xFF,0xF1,
1752172196165306,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752172196165626,0x19E,false,Rx,0,8,0x00,0xE0,0x9F,0xFC,0xFE,0x00,0x00,0x1C
1752172196165856,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xC0,0x00,0x18,0x90,0x8B
1752172196166116,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x68,0x00,0x00,0x04
1752172196166320,0xC8,false,Rx,0,6,0x39,0xFE,0xAC,0x00,0x00,0xAC,,
1752172196171936,0xAA,false,Rx,0,8,0x60,0x56,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196172175,0xA8,false,Rx,0,8,0x04,0x06,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196172464,0xA9,false,Rx,0,8,0xEF,0x06,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196172673,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x53,0x86,
1752172196174980,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196175108,0x1D6,false,Rx,0,2,0xFF,0xF3,,,,,,
1752172196177186,0x310,false,Rx,0,7,0x89,0x6B,0x96,0xF0,0x00,0x6A,0x24,
1752172196181831,0xAA,false,Rx,0,8,0x61,0x57,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196182028,0xA8,false,Rx,0,8,0x05,0x07,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196182289,0xA9,false,Rx,0,8,0xF0,0x07,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196182479,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x54,0x87,
1752172196185091,0xB6,false,Rx,0,5,0x0A,0x0A,0x80,0x00,0xC8,,,
1752172196185251,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196185384,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752172196185617,0x19E,false,Rx,0,8,0x00,0xE0,0x9F,0xFC,0xFE,0x00,0x00,0x1C
1752172196185868,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xC0,0x00,0x14,0xA0,0x97
1752172196186115,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x58,0x00,0x00,0x04
1752172196191824,0xAA,false,Rx,0,8,0x62,0x58,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196192054,0xA8,false,Rx,0,8,0x06,0x08,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196192319,0xA9,false,Rx,0,8,0xF1,0x08,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196192477,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x55,0x88,
1752172196194963,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196199403,0x130,false,Rx,0,5,0x45,0x43,0x21,0x8F,0xFE,,,
1752172196201789,0xAA,false,Rx,0,8,0x63,0x59,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196202036,0xA8,false,Rx,0,8,0x07,0x09,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196202326,0xA9,false,Rx,0,8,0xF2,0x09,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196202476,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x56,0x89,
1752172196204945,0xB6,false,Rx,0,5,0x0B,0x0B,0x80,0x00,0xC8,,,
1752172196205149,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196205411,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752172196205642,0x19E,false,Rx,0,8,0x00,0xE0,0x9F,0xFC,0xFE,0x00,0x00,0x1C
1752172196205899,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xC0,0x00,0x14,0xB0,0xA7
1752172196206133,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x58,0x00,0x00,0x04
1752172196206381,0x497,false,Rx,0,8,0x29,0x42,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
1752172196206611,0x1D0,false,Rx,0,8,0x3C,0x76,0x68,0xC3,0x9C,0x9E,0xCD,0x82
1752172196211919,0xAA,false,Rx,0,8,0x64,0x5A,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196212139,0xA8,false,Rx,0,8,0x08,0x0A,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196212336,0xA9,false,Rx,0,8,0xF3,0x0A,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196212482,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x57,0x8A,
1752172196215104,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196221965,0xAA,false,Rx,0,8,0x65,0x5B,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196222202,0xA8,false,Rx,0,8,0x09,0x0B,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196222427,0xA9,false,Rx,0,8,0xF4,0x0B,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196222671,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x58,0x8B,
1752172196224679,0x1FB,false,Rx,0,2,0xF8,0xFF,,,,,,
1752172196224871,0xB6,false,Rx,0,5,0x0C,0x0C,0x80,0x00,0xC8,,,
1752172196225113,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196225392,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752172196225626,0x19E,false,Rx,0,8,0x00,0xE0,0x9F,0xFC,0xFE,0x00,0x00,0x1C
1752172196225912,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xB0,0x00,0x18,0xC0,0xAB
1752172196226118,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x68,0x00,0x00,0x04
1752172196226372,0x1A6,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0xF8
1752172196226523,0x2FA,false,Rx,0,5,0xFC,0x00,0xFF,0xFF,0xFF,,,
1752172196231849,0xAA,false,Rx,0,8,0x66,0x5C,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196232171,0xA8,false,Rx,0,8,0x0A,0x0C,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196232434,0xA9,false,Rx,0,8,0xF5,0x0C,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196232632,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x59,0x8C,
1752172196234998,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196241827,0xAA,false,Rx,0,8,0x67,0x5D,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196242028,0xA8,false,Rx,0,8,0x0B,0x0D,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196242318,0xA9,false,Rx,0,8,0xF6,0x0D,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196242613,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x5A,0x8D,
1752172196244871,0xB6,false,Rx,0,5,0x0D,0x0D,0x80,0x00,0xC8,,,
1752172196245128,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196245432,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752172196245544,0x19E,false,Rx,0,8,0x00,0xE0,0x9F,0xFC,0xFE,0x00,0x00,0x1C
1752172196245767,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xB0,0x00,0x14,0xD0,0xB7
1752172196246019,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x58,0x00,0x00,0x04
1752172196251376,0x1B4,false,Rx,0,8,0x00,0xD0,0xE2,0xF0,0x04,0x32,0xFE,0x8F
1752172196251809,0xAA,false,Rx,0,8,0x68,0x5E,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196252031,0xA8,false,Rx,0,8,0x0C,0x0E,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196252317,0xA9,false,Rx,0,8,0xF7,0x0E,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196252467,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x5B,0x8E,
1752172196255015,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196261881,0xAA,false,Rx,0,8,0x5A,0x50,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196262042,0xA8,false,Rx,0,8,0xFD,0x00,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196262343,0xA9,false,Rx,0,8,0xE9,0x00,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196262489,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x4D,0x80,
1752172196262660,0x1D2,false,Rx,0,5,0xE1,0x0C,0x8F,0x30,0xF0,,,
1752172196264941,0xB6,false,Rx,0,5,0x0E,0x0E,0x80,0x00,0xC8,,,
1752172196265169,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196265453,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752172196265680,0x19E,false,Rx,0,8,0x00,0xE0,0x9F,0xFC,0xFE,0x00,0x00,0x1C
1752172196265902,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xB0,0x00,0x14,0xE0,0xC7
1752172196266459,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x58,0x00,0x00,0x04
1752172196271955,0xAA,false,Rx,0,8,0x5B,0x51,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196272208,0xA8,false,Rx,0,8,0xFE,0x01,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196272486,0xA9,false,Rx,0,8,0xEA,0x01,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196272724,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x4E,0x81,
1752172196275008,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196275169,0x194,false,Rx,0,4,0xE9,0xF8,0x00,0xF0,,,,
1752172196275292,0x1D6,false,Rx,0,2,0xFF,0xF3,,,,,,
1752172196281935,0xAA,false,Rx,0,8,0x5C,0x52,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196282169,0xA8,false,Rx,0,8,0xFF,0x02,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196282446,0xA9,false,Rx,0,8,0xEB,0x02,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196282647,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x4F,0x82,
1752172196284914,0xB6,false,Rx,0,5,0xFF,0x00,0x80,0x00,0xC8,,,
1752172196285174,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196285464,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752172196285695,0x19E,false,Rx,0,8,0x00,0xE0,0x9F,0xFC,0xFE,0x00,0x00,0x1C
1752172196285967,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xB0,0x00,0x14,0x00,0xE6
1752172196286206,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x58,0x00,0x00,0x04
1752172196291863,0xAA,false,Rx,0,8,0x5D,0x53,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196292060,0xA8,false,Rx,0,8,0x00,0x03,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196292326,0xA9,false,Rx,0,8,0xEC,0x03,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196292460,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x50,0x83,
1752172196295181,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196299525,0x130,false,Rx,0,5,0x45,0x43,0x21,0x8F,0x00,,,
1752172196301822,0xAA,false,Rx,0,8,0x5E,0x54,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196302043,0xA8,false,Rx,0,8,0x02,0x04,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196302316,0xA9,false,Rx,0,8,0xED,0x04,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196302485,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x51,0x84,
1752172196304972,0xB6,false,Rx,0,5,0x00,0x01,0x80,0x00,0xC8,,,
1752172196305146,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196305405,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752172196305648,0x19E,false,Rx,0,8,0x00,0xE0,0x9F,0xFC,0xFE,0x00,0x00,0x1C
1752172196305896,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xB0,0x00,0x18,0x10,0xFA
1752172196306145,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x68,0x00,0x00,0x04
1752172196306380,0x1D0,false,Rx,0,8,0x3C,0x76,0x68,0xC3,0x9C,0x9E,0xCD,0x82
1752172196306615,0x4A9,false,Rx,0,8,0x30,0x42,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
1752172196311853,0xAA,false,Rx,0,8,0x5F,0x55,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196312062,0xA8,false,Rx,0,8,0x03,0x05,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196312353,0xA9,false,Rx,0,8,0xEE,0x05,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196312487,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x52,0x85,
1752172196312929,0x1B5,false,Rx,0,6,0x00,0xFF,0x02,0x00,0x48,0xFF,,
1752172196314917,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196329294,0xAA,false,Rx,0,8,0x60,0x56,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196330006,0xA8,false,Rx,0,8,0x04,0x06,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196330071,0xA9,false,Rx,0,8,0xEF,0x06,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196330109,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x53,0x86,
1752172196330140,0xB6,false,Rx,0,5,0x02,0x02,0x80,0x00,0xC8,,,
1752172196330174,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196330210,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752172196330248,0x19E,false,Rx,0,8,0x00,0xE0,0xAF,0xFC,0xFE,0x00,0x00,0x2C
1752172196330288,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xB0,0x00,0x18,0x20,0x0B
1752172196330328,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x68,0x00,0x00,0x04
1752172196330368,0x1A6,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x90,0xF9
1752172196331760,0xAA,false,Rx,0,8,0x61,0x57,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196331983,0xA8,false,Rx,0,8,0x05,0x07,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196332273,0xA9,false,Rx,0,8,0xF0,0x07,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196332421,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x54,0x87,
1752172196334916,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196347244,0xAA,false,Rx,0,8,0x62,0x58,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196347507,0xA8,false,Rx,0,8,0x06,0x08,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196347659,0xA9,false,Rx,0,8,0xF1,0x08,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196347803,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x55,0x88,
1752172196347956,0xB6,false,Rx,0,5,0x03,0x03,0x80,0x00,0xC8,,,
1752172196348057,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196348159,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752172196348253,0x19E,false,Rx,0,8,0x00,0xE0,0xAF,0xFC,0xFE,0x00,0x00,0x2C
1752172196348334,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xB0,0x00,0x14,0x30,0x17
1752172196348449,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x58,0x00,0x00,0x04
1752172196351118,0x1B4,false,Rx,0,8,0x00,0xD0,0xE2,0xF1,0x04,0x32,0xFE,0x90
1752172196351319,0x335,false,Rx,0,8,0x00,0xEC,0x0F,0x00,0x00,0x9B,0x00,0x00
1752172196351782,0xAA,false,Rx,0,8,0x63,0x59,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196352017,0xA8,false,Rx,0,8,0x07,0x09,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196352304,0xA9,false,Rx,0,8,0xF2,0x09,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196352460,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x56,0x89,
1752172196354891,0xC4,false,Rx,0,7,0x3A,0xFE,0xFC,0x0B,0x00,0xFF,0xF1,
1752172196359201,0x34F,false,Rx,0,2,0xFE,0xFF,,,,,,
1752172196361990,0xAA,false,Rx,0,8,0x64,0x5A,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196362252,0xA8,false,Rx,0,8,0x08,0x0A,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196362496,0xA9,false,Rx,0,8,0xF3,0x0A,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196362707,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x57,0x8A,
1752172196364903,0xB6,false,Rx,0,5,0x04,0x04,0x80,0x00,0xC8,,,
1752172196365147,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x0B,0x00,0xFF,0xF1,
1752172196365451,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752172196365682,0x19E,false,Rx,0,8,0x00,0xE0,0xAF,0xFC,0xFE,0x00,0x00,0x2C
1752172196365912,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xC0,0x00,0x14,0x40,0x37
1752172196366140,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x58,0x00,0x00,0x04
1752172196366391,0xC8,false,Rx,0,6,0x39,0xFE,0x0C,0x1D,0xFF,0xCC,,
1752172196371941,0xAA,false,Rx,0,8,0x65,0x5B,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196372194,0xA8,false,Rx,0,8,0x09,0x0B,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196372459,0xA9,false,Rx,0,8,0xF4,0x0B,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196372666,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x58,0x8B,
1752172196374984,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196375107,0x1D6,false,Rx,0,2,0xFF,0xF3,,,,,,
1752172196381955,0xAA,false,Rx,0,8,0x66,0x5C,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196382213,0xA8,false,Rx,0,8,0x0A,0x0C,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196382436,0xA9,false,Rx,0,8,0xF5,0x0C,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196382638,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x59,0x8C,
1752172196384933,0xB6,false,Rx,0,5,0x05,0x05,0x80,0x00,0xC8,,,
1752172196385192,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196385476,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752172196385751,0x19E,false,Rx,0,8,0x00,0xE0,0xAF,0xFC,0xFE,0x00,0x00,0x2C
1752172196385990,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xC0,0x00,0x14,0x50,0x47
1752172196386134,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x58,0x00,0x00,0x04
1752172196391846,0xAA,false,Rx,0,8,0x67,0x5D,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196392057,0xA8,false,Rx,0,8,0x0B,0x0D,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196392339,0xA9,false,Rx,0,8,0xF6,0x0D,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196392495,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x5A,0x8D,
1752172196394929,0xC4,false,Rx,0,7,0x3A,0xFE,0xFC,0x4B,0x00,0xFF,0xF1,
1752172196399611,0x130,false,Rx,0,5,0x45,0x43,0x21,0x8F,0x11,,,
1752172196401883,0xAA,false,Rx,0,8,0x68,0x5E,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196402106,0xA8,false,Rx,0,8,0x0C,0x0E,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196402383,0xA9,false,Rx,0,8,0xF7,0x0E,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196402638,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x5B,0x8E,
1752172196403977,0x4B0,false,Rx,0,8,0x00,0x42,0xFE,0x01,0xFF,0xFF,0xFF,0xFF
1752172196405004,0xB6,false,Rx,0,5,0x06,0x06,0x80,0x00,0xC8,,,
1752172196405192,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x4B,0x00,0xFF,0xF1,
1752172196405475,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752172196405723,0x19E,false,Rx,0,8,0x00,0xE0,0xAF,0xFC,0xFE,0x00,0x00,0x2C
1752172196405947,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xC0,0x00,0x14,0x60,0x57
1752172196406199,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x58,0x00,0x00,0x04
1752172196406424,0x1D0,false,Rx,0,8,0x3C,0x76,0x69,0xC3,0x9C,0x9E,0xCD,0x82
1752172196411944,0xAA,false,Rx,0,8,0x5A,0x50,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196412158,0xA8,false,Rx,0,8,0xFD,0x00,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196412334,0xA9,false,Rx,0,8,0xE9,0x00,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196412485,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x4D,0x80,
1752172196414717,0x1FB,false,Rx,0,2,0xF9,0xFF,,,,,,
1752172196414938,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196421830,0xAA,false,Rx,0,8,0x5B,0x51,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196422043,0xA8,false,Rx,0,8,0xFE,0x01,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196422302,0xA9,false,Rx,0,8,0xEA,0x01,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752172196422453,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x4E,0x81,
1752172196424800,0xB6,false,Rx,0,5,0x07,0x07,0x80,0x00,0xC8,,,
1752172196425059,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752172196425351,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752172196425548,0x19E,false,Rx,0,8,0x00,0xE0,0xAF,0xFC,0xFE,0x00,0x00,0x2C
1752172196425798,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xC0,0x00,0x18,0x70,0x6B
1752172196426038,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x68,0x00,0x00,0x04
1752172196426346,0x1A6,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x20,0xFB
1752172196431959,0xAA,false,Rx,0,8,0x5C,0x52,0x07,0x00,0xB8,0x0B,0x94,0x00
1752172196432207,0xA8,false,Rx,0,8,0xFF,0x02,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752172196432430,0xA9,false,Rx,0,8,0xEB,0x02,0x79,0xDF,0x1D,0xC7,0xE0,0x21
